               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.029565,            0.016039,           0.0058877,             0.97728,             0.98208,             0.99337,              0.6184,            0.034588,            0.022989,           0.0056442,            0.070652,           0.0032609,           0.0032609
                   1,            0.039808,            0.016695,           0.0058476,             0.79342,              0.9082,             0.90982,             0.51377,            0.048401,            0.024337,           0.0059281,            0.040587,           0.0065289,           0.0065289
                   2,            0.048058,            0.017223,           0.0064889,             0.66572,             0.87844,             0.85493,             0.50901,            0.052592,             0.02426,            0.006728,            0.010456,            0.009731,            0.009731
                   3,            0.049348,            0.017213,           0.0069965,             0.72196,             0.86237,              0.8494,              0.4009,            0.051826,            0.023827,           0.0061869,            0.009703,            0.009703,            0.009703
                   4,            0.045458,            0.016469,           0.0064001,             0.73813,              0.9122,             0.89174,             0.55067,            0.045263,            0.022771,           0.0057251,            0.009703,            0.009703,            0.009703
                   5,            0.043807,            0.015632,           0.0054378,             0.83911,              0.9554,             0.92422,             0.47836,            0.037763,            0.022469,           0.0052853,            0.009604,            0.009604,            0.009604
                   6,            0.040011,            0.015203,           0.0051347,             0.72209,             0.89066,             0.89192,             0.56748,            0.038456,            0.021448,           0.0047264,            0.009505,            0.009505,            0.009505
                   7,            0.038103,            0.014442,           0.0048714,             0.96468,              0.9878,             0.99226,             0.61314,            0.032121,            0.020426,           0.0047966,            0.009406,            0.009406,            0.009406
                   8,            0.037087,            0.013911,           0.0043699,              0.9709,             0.99548,             0.99241,             0.64786,            0.034461,            0.020245,           0.0041617,            0.009307,            0.009307,            0.009307
                   9,            0.035529,            0.013511,           0.0040731,             0.90695,             0.97859,              0.9866,             0.69974,            0.033252,             0.02015,           0.0041595,            0.009208,            0.009208,            0.009208
                  10,            0.034299,            0.013084,           0.0037751,             0.94138,              0.9859,             0.98709,             0.68488,            0.031028,            0.019727,           0.0037941,            0.009109,            0.009109,            0.009109
                  11,            0.032432,            0.012587,           0.0034726,             0.99678,             0.99834,             0.99484,             0.72031,            0.029713,            0.018816,            0.003897,             0.00901,             0.00901,             0.00901
                  12,            0.030683,             0.01213,           0.0036297,              0.9839,             0.99526,             0.99446,             0.73664,            0.029657,            0.018105,           0.0036454,            0.008911,            0.008911,            0.008911
                  13,            0.030681,            0.011779,           0.0032479,             0.99089,             0.99761,             0.99448,             0.72668,            0.027975,            0.018535,           0.0036312,            0.008812,            0.008812,            0.008812
                  14,            0.030109,             0.01168,           0.0033103,             0.99432,              0.9996,             0.99496,             0.70877,            0.029181,            0.018784,           0.0033844,            0.008713,            0.008713,            0.008713
                  15,            0.029562,            0.011443,           0.0030445,             0.99448,              0.9999,               0.995,             0.72551,            0.027727,            0.017625,           0.0032927,            0.008614,            0.008614,            0.008614
                  16,            0.028644,            0.011024,           0.0031128,              0.9972,             0.99939,               0.995,             0.71007,            0.026172,            0.017315,           0.0033216,            0.008515,            0.008515,            0.008515
                  17,            0.027946,            0.010689,           0.0028034,             0.99426,                   1,             0.99495,             0.76102,            0.026659,              0.0176,           0.0030772,            0.008416,            0.008416,            0.008416
                  18,             0.02674,             0.01053,           0.0027175,             0.99373,                   1,              0.9949,             0.75545,            0.025462,            0.017238,           0.0031255,            0.008317,            0.008317,            0.008317
                  19,            0.026192,            0.010395,           0.0028559,              0.9973,             0.99958,             0.99497,             0.75705,            0.024689,            0.016843,           0.0030695,            0.008218,            0.008218,            0.008218
                  20,            0.025256,            0.010153,           0.0027014,             0.99179,              0.9996,             0.99493,             0.75747,            0.023366,            0.016384,           0.0029766,            0.008119,            0.008119,            0.008119
                  21,            0.024879,           0.0099035,           0.0025474,             0.99685,              0.9991,             0.99457,             0.75331,            0.025466,            0.017042,           0.0028665,             0.00802,             0.00802,             0.00802
                  22,            0.024521,           0.0097059,           0.0025394,             0.99868,             0.99933,               0.995,             0.76313,            0.024459,            0.016732,           0.0029343,            0.007921,            0.007921,            0.007921
                  23,            0.024479,           0.0095132,            0.002403,             0.99778,             0.99967,             0.99499,             0.75736,            0.022581,            0.015933,           0.0026477,            0.007822,            0.007822,            0.007822
                  24,            0.023212,           0.0093287,           0.0024152,             0.99724,              0.9996,               0.995,             0.77671,            0.022573,            0.016155,           0.0028163,            0.007723,            0.007723,            0.007723
                  25,            0.022663,           0.0090396,           0.0025341,             0.99836,             0.99927,               0.995,             0.78671,            0.022637,            0.016062,           0.0027503,            0.007624,            0.007624,            0.007624
                  26,             0.02276,           0.0090879,           0.0025038,             0.99815,             0.99976,               0.995,             0.78035,             0.02189,            0.015971,            0.002847,            0.007525,            0.007525,            0.007525
                  27,            0.022313,           0.0088718,           0.0022883,             0.99759,                   1,               0.995,             0.77836,            0.020967,            0.015571,           0.0025563,            0.007426,            0.007426,            0.007426
                  28,            0.021807,           0.0087008,           0.0021272,             0.99636,             0.99961,               0.995,             0.79009,            0.020827,             0.01536,           0.0025122,            0.007327,            0.007327,            0.007327
                  29,            0.021507,           0.0086639,           0.0023167,             0.99742,             0.99928,               0.995,             0.78941,            0.021734,            0.015823,           0.0027023,            0.007228,            0.007228,            0.007228
                  30,            0.021051,            0.008514,           0.0022494,             0.99738,             0.99931,               0.995,             0.79455,            0.021381,            0.015666,           0.0026067,            0.007129,            0.007129,            0.007129
                  31,            0.021378,           0.0084829,           0.0021695,             0.99825,             0.99886,               0.995,             0.80324,            0.020149,            0.015151,           0.0024546,             0.00703,             0.00703,             0.00703
                  32,            0.020546,           0.0082641,           0.0020331,             0.99868,             0.99908,               0.995,             0.80051,            0.019039,            0.014856,           0.0024882,            0.006931,            0.006931,            0.006931
                  33,            0.019954,            0.008204,           0.0021343,             0.99789,             0.99955,               0.995,              0.8076,            0.018927,             0.01497,           0.0024366,            0.006832,            0.006832,            0.006832
                  34,            0.019556,           0.0079646,           0.0020612,             0.99765,               0.999,             0.99499,             0.80144,            0.018896,            0.015025,            0.002467,            0.006733,            0.006733,            0.006733
                  35,            0.019491,           0.0079629,           0.0020825,             0.99787,             0.99956,               0.995,             0.80749,             0.01977,            0.014896,           0.0023945,            0.006634,            0.006634,            0.006634
                  36,            0.019094,           0.0079428,           0.0019869,             0.99789,             0.99979,               0.995,             0.81482,            0.018471,            0.014547,            0.002372,            0.006535,            0.006535,            0.006535
                  37,            0.018819,           0.0077613,           0.0019695,             0.99807,             0.99877,               0.995,             0.80935,            0.019596,            0.015081,           0.0022871,            0.006436,            0.006436,            0.006436
                  38,            0.018617,           0.0075921,           0.0018874,             0.99733,             0.99988,               0.995,             0.81925,            0.018052,            0.014586,           0.0022749,            0.006337,            0.006337,            0.006337
                  39,            0.018378,           0.0075753,           0.0018608,             0.99827,             0.99934,               0.995,             0.81557,             0.01844,            0.014315,           0.0022246,            0.006238,            0.006238,            0.006238
                  40,             0.01777,           0.0073409,           0.0019095,              0.9985,             0.99923,               0.995,             0.80575,            0.017495,            0.014292,           0.0023801,            0.006139,            0.006139,            0.006139
                  41,            0.017077,           0.0072357,           0.0020115,             0.99733,             0.99969,               0.995,              0.8281,            0.017281,            0.014102,           0.0023322,             0.00604,             0.00604,             0.00604
                  42,            0.017019,           0.0071079,           0.0017881,             0.99794,             0.99946,               0.995,             0.82911,            0.018628,            0.014534,           0.0022244,            0.005941,            0.005941,            0.005941
                  43,            0.017077,            0.007077,           0.0018484,             0.99815,             0.99909,               0.995,             0.82251,            0.017561,            0.014301,           0.0022217,            0.005842,            0.005842,            0.005842
                  44,            0.016773,           0.0070418,           0.0018391,             0.99807,             0.99969,               0.995,             0.82525,            0.017096,            0.014178,           0.0022145,            0.005743,            0.005743,            0.005743
                  45,            0.016843,           0.0071224,            0.001702,             0.99906,             0.99964,               0.995,             0.83211,            0.017495,            0.014414,           0.0020883,            0.005644,            0.005644,            0.005644
                  46,            0.016181,           0.0067778,           0.0015685,             0.99846,             0.99976,               0.995,              0.8318,            0.016916,             0.01409,           0.0020969,            0.005545,            0.005545,            0.005545
                  47,            0.015649,           0.0067565,           0.0017376,             0.99838,                   1,               0.995,             0.82414,            0.017308,            0.014113,           0.0020657,            0.005446,            0.005446,            0.005446
                  48,            0.015523,           0.0066989,           0.0016187,             0.99803,             0.99935,               0.995,             0.83358,             0.01673,            0.013972,           0.0020854,            0.005347,            0.005347,            0.005347
                  49,             0.01553,           0.0065845,            0.001675,             0.99818,             0.99946,               0.995,             0.83413,            0.016718,            0.013973,           0.0021009,            0.005248,            0.005248,            0.005248
                  50,            0.015317,           0.0065358,           0.0015824,             0.99814,             0.99932,               0.995,             0.83983,            0.016151,            0.013795,           0.0020419,            0.005149,            0.005149,            0.005149
                  51,            0.014807,           0.0064347,           0.0016656,             0.99807,             0.99917,               0.995,             0.84229,            0.015755,            0.013609,           0.0020445,             0.00505,             0.00505,             0.00505
                  52,            0.014482,           0.0063121,           0.0015833,             0.99821,             0.99951,               0.995,             0.83986,            0.015491,            0.013465,           0.0019323,            0.004951,            0.004951,            0.004951
                  53,            0.014258,           0.0060606,           0.0015192,              0.9988,             0.99996,               0.995,             0.84082,            0.015635,            0.013673,           0.0019245,            0.004852,            0.004852,            0.004852
                  54,            0.014247,           0.0061419,           0.0014531,             0.99882,             0.99967,               0.995,              0.8391,            0.015727,            0.013628,           0.0018775,            0.004753,            0.004753,            0.004753
                  55,            0.013946,           0.0061337,            0.001472,             0.99782,             0.99996,               0.995,             0.84237,             0.01562,             0.01345,           0.0018761,            0.004654,            0.004654,            0.004654
