               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.013605,           0.0060339,           0.0014701,             0.99891,             0.99937,               0.995,             0.84345,            0.015085,            0.013366,           0.0018631,            0.004555,            0.004555,            0.004555
                  57,            0.013217,           0.0058886,           0.0014477,             0.99832,             0.99919,               0.995,             0.84514,            0.015554,            0.013538,           0.0018721,            0.004456,            0.004456,            0.004456
                  58,            0.012985,           0.0057498,           0.0014424,             0.99821,             0.99903,               0.995,             0.84327,            0.015385,            0.013535,           0.0019256,            0.004357,            0.004357,            0.004357
                  59,            0.012857,           0.0055772,            0.001508,             0.99894,             0.99927,               0.995,             0.84839,            0.015008,             0.01331,           0.0019348,            0.004258,            0.004258,            0.004258
                  60,            0.012769,           0.0057012,           0.0014239,             0.99845,             0.99941,               0.995,             0.84846,            0.015155,            0.013337,            0.001846,            0.004159,            0.004159,            0.004159
                  61,            0.012475,            0.005553,           0.0013714,             0.99898,             0.99958,               0.995,             0.84978,             0.01481,            0.013265,           0.0017857,             0.00406,             0.00406,             0.00406
                  62,            0.012041,           0.0053642,           0.0013537,              0.9987,             0.99932,               0.995,             0.84961,            0.014396,            0.013182,           0.0017854,            0.003961,            0.003961,            0.003961
                  63,            0.011904,           0.0053763,           0.0013898,             0.99894,             0.99976,               0.995,             0.85121,            0.014525,            0.013154,           0.0018306,            0.003862,            0.003862,            0.003862
                  64,            0.011627,           0.0052012,           0.0013621,             0.99874,             0.99985,               0.995,             0.84965,            0.014423,            0.013129,           0.0017964,            0.003763,            0.003763,            0.003763
                  65,              0.0115,           0.0051545,           0.0013062,             0.99878,                   1,               0.995,              0.8545,            0.014399,            0.013147,           0.0017633,            0.003664,            0.003664,            0.003664
                  66,            0.011158,           0.0050752,           0.0012671,             0.99876,             0.99929,               0.995,             0.84859,            0.014462,            0.013304,           0.0017003,            0.003565,            0.003565,            0.003565
                  67,            0.010878,           0.0050766,            0.001255,             0.99885,             0.99946,               0.995,             0.84865,            0.014211,            0.013072,           0.0017048,            0.003466,            0.003466,            0.003466
                  68,            0.010641,           0.0049313,           0.0012832,             0.99871,              0.9992,               0.995,             0.85846,             0.01426,            0.013059,           0.0017045,            0.003367,            0.003367,            0.003367
                  69,            0.010582,           0.0048867,           0.0012596,             0.99882,             0.99926,               0.995,             0.85681,            0.013978,            0.013067,           0.0016904,            0.003268,            0.003268,            0.003268
                  70,            0.010304,           0.0048516,           0.0011913,             0.99893,             0.99919,               0.995,             0.85542,            0.014168,            0.013125,           0.0016402,            0.003169,            0.003169,            0.003169
                  71,            0.010113,           0.0047238,           0.0011982,             0.99902,              0.9991,               0.995,             0.85413,            0.013925,            0.012984,           0.0016212,             0.00307,             0.00307,             0.00307
                  72,           0.0099018,           0.0047343,            0.001169,             0.99907,              0.9993,               0.995,              0.8546,            0.013788,            0.012939,           0.0015998,            0.002971,            0.002971,            0.002971
                  73,           0.0093749,           0.0045797,           0.0011619,             0.99913,             0.99971,               0.995,             0.85799,            0.013809,            0.012995,           0.0016089,            0.002872,            0.002872,            0.002872
                  74,            0.009374,           0.0044589,            0.001129,             0.99904,             0.99982,               0.995,             0.85857,            0.013551,             0.01297,           0.0015799,            0.002773,            0.002773,            0.002773
                  75,           0.0094786,           0.0046623,           0.0011904,             0.99884,             0.99946,               0.995,             0.85982,            0.013412,            0.012935,           0.0015623,            0.002674,            0.002674,            0.002674
                  76,           0.0089394,           0.0043472,           0.0011003,               0.999,             0.99982,               0.995,              0.8619,            0.013499,            0.012945,           0.0015404,            0.002575,            0.002575,            0.002575
                  77,           0.0087097,           0.0043126,           0.0010696,             0.99901,             0.99983,               0.995,             0.86383,            0.013471,            0.012913,             0.00151,            0.002476,            0.002476,            0.002476
                  78,           0.0086241,           0.0042394,           0.0010317,             0.99896,             0.99964,               0.995,             0.86238,            0.013429,            0.012991,            0.001475,            0.002377,            0.002377,            0.002377
                  79,           0.0084246,           0.0041457,           0.0010045,             0.99903,             0.99989,               0.995,             0.86251,            0.013558,            0.013023,            0.001451,            0.002278,            0.002278,            0.002278
                  80,           0.0081444,           0.0040051,          0.00097611,             0.99909,             0.99974,               0.995,             0.86577,            0.013234,            0.012979,           0.0014204,            0.002179,            0.002179,            0.002179
                  81,           0.0076456,           0.0039411,          0.00099445,             0.99904,             0.99963,               0.995,             0.86594,            0.013088,            0.012964,           0.0014486,             0.00208,             0.00208,             0.00208
                  82,           0.0074732,           0.0038028,           0.0010124,             0.99906,             0.99965,               0.995,             0.86553,            0.012901,            0.012926,           0.0014429,            0.001981,            0.001981,            0.001981
                  83,           0.0072547,           0.0037494,          0.00097521,             0.99912,              0.9994,               0.995,             0.86645,            0.013143,            0.012993,           0.0014213,            0.001882,            0.001882,            0.001882
                  84,           0.0070867,           0.0036781,          0.00093732,             0.99909,             0.99956,               0.995,             0.86977,            0.012778,            0.012896,           0.0013878,            0.001783,            0.001783,            0.001783
                  85,           0.0069462,           0.0036741,           0.0009491,             0.99911,             0.99974,               0.995,             0.86778,            0.012777,            0.012883,           0.0013714,            0.001684,            0.001684,            0.001684
                  86,           0.0065272,           0.0034643,          0.00090112,             0.99905,             0.99957,               0.995,             0.86792,            0.012983,            0.013067,           0.0013534,            0.001585,            0.001585,            0.001585
                  87,           0.0064125,           0.0033545,          0.00088661,             0.99897,             0.99953,               0.995,             0.86968,             0.01286,            0.013042,           0.0013347,            0.001486,            0.001486,            0.001486
                  88,           0.0062955,           0.0032948,          0.00086666,             0.99903,              0.9998,               0.995,             0.86839,            0.012701,            0.012995,           0.0013053,            0.001387,            0.001387,            0.001387
                  89,            0.006069,           0.0032013,          0.00085823,             0.99897,             0.99986,               0.995,             0.86887,            0.012672,            0.013038,           0.0012854,            0.001288,            0.001288,            0.001288
                  90,           0.0057744,           0.0031185,          0.00082714,             0.99893,             0.99977,               0.995,             0.86889,            0.012753,            0.013161,           0.0012638,            0.001189,            0.001189,            0.001189
                  91,           0.0056663,           0.0030757,          0.00081469,             0.99896,             0.99992,               0.995,              0.8704,            0.012638,            0.013125,           0.0012582,             0.00109,             0.00109,             0.00109
                  92,           0.0054045,           0.0030452,          0.00079561,              0.9989,             0.99999,               0.995,             0.86712,            0.012548,            0.013143,           0.0012427,            0.000991,            0.000991,            0.000991
                  93,           0.0053072,           0.0029065,          0.00078605,               0.999,             0.99981,               0.995,             0.87136,            0.012534,            0.013162,           0.0012311,            0.000892,            0.000892,            0.000892
                  94,            0.005014,           0.0028357,          0.00076272,             0.99897,             0.99971,               0.995,             0.86871,            0.012495,            0.013237,           0.0012148,            0.000793,            0.000793,            0.000793
                  95,           0.0048214,           0.0028524,          0.00074624,             0.99894,             0.99974,               0.995,             0.87049,            0.012445,            0.013249,           0.0012032,            0.000694,            0.000694,            0.000694
                  96,           0.0045962,           0.0027565,          0.00073154,             0.99899,              0.9997,               0.995,             0.86955,            0.012455,            0.013312,           0.0011891,            0.000595,            0.000595,            0.000595
                  97,           0.0045066,           0.0026927,          0.00071539,             0.99898,             0.99973,               0.995,             0.87145,            0.012421,            0.013375,           0.0011751,            0.000496,            0.000496,            0.000496
                  98,            0.004322,           0.0026322,          0.00070226,             0.99888,             0.99973,               0.995,             0.86937,            0.012366,              0.0134,           0.0011653,            0.000397,            0.000397,            0.000397
                  99,           0.0041708,           0.0025887,          0.00068924,             0.99884,             0.99972,               0.995,             0.87135,            0.012355,            0.013428,           0.0011553,            0.000298,            0.000298,            0.000298
